Gender,Provinsi,Kab/Kota,Bidang,Jenjang Lomba,Jenjang Sekolah,Kelas,Medali,Tahun,Cluster
L,Jawa Timur,Kota Surabaya,Biologi,SMA,SMA,11.0,Partisipan,2016,2
L,Aceh,Kota Banda Aceh,Ekonomi,SMA,SMA,11.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Aceh,Kota Banda Aceh,Fisika,SMA,SMA,11.0,Partisipan,2022,2
L,Aceh,Kota Banda Aceh,Kimia,SMA,SMA,11.0,Partisipan,2022,2
P,Aceh,Kota Banda Aceh,Astronomi,SMA,SMA,11.0,Partisipan,2023,2
L,Jawa Timur,Kota Surabaya,Geografi,SMA,SMA,11.0,Partisipan,2016,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,10.0,Partisipan,2023,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,11.0,Partisipan,2024,2
P,Aceh,Kota Banda Aceh,Kebumian,SMA,SMA,11.0,Partisipan,2024,2
L,Sulawesi Selatan,Kota Makassar,Matematika,SMA,SMA,11.0,Partisipan,2018,2
P,Aceh,Kota Subulussalam,Fisika,SMA,SMA,11.0,Partisipan,2024,2
L,Aceh,Kab. Aceh Timur,Geografi,SMA,SMA,11.0,Partisipan,2021,1
P,Aceh,Kab. Pidie Jaya,Matematika,SMP,SMP,11.0,Partisipan,2022,0
L,Papua Barat,Kab. Manokwari,Kimia,SMA,SMA,11.0,Partisipan,2020,0
L,Bali,Kab. Jembrana,Biologi,SMA,SMA,10.0,Partisipan,2021,1
L,Bali,Kab. Jembrana,Geografi,SMA,SMA,11.0,Partisipan,2021,1
L,Bali,Kab. Jembrana,Informatika,SMA,SMA,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Bali,Kab. Jembrana,Ekonomi,SMA,SMA,11.0,Partisipan,2017,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2009,0
L,Bali,Kab. Jembrana,Kimia,SMA,SMA,11.0,Partisipan,2014,1
L,Bali,Kab. Jembrana,Informatika,SMA,SMA,11.0,Partisipan,2020,1
P,Jawa Timur,Kab. Jombang,Geografi,SMA,SMA,11.0,Partisipan,2022,1
P,Bali,Kab. Karangasem,Biologi,SMA,SMA,10.0,Partisipan,2020,1
L,Bali,Kab. Karangasem,Geografi,SMA,SMA,11.0,Partisipan,2022,1
P,Bali,Kab. Buleleng,IPS,SMP,SMP,11.0,Partisipan,2023,1
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2023,1
P,Bali,Kab. Buleleng,IPA,SMP,SMP,11.0,Partisipan,2023,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2019,0
P,Bali,Kab. Jembrana,IPA,SMP,SMP,11.0,Partisipan,2022,1
L,Bali,Kota Denpasar,Matematika,SMA,SMA,11.0,Partisipan,2018,2
L,Bali,Kota Denpasar,Informatika,SMA,SMA,10.0,Partisipan,2022,2
L,Bali,Kota Denpasar,Informatika,SMA,SMA,11.0,Partisipan,2023,2
L,Bali,Kab. Badung,Astronomi,SMA,SMA,10.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Bangka Belitung,Kab. Belitung,Astronomi,SMA,SMA,10.0,Partisipan,2015,1
L,Bangka Belitung,Kab. Bangka Tengah,Fisika,SMA,SMA,10.0,Partisipan,2024,1
L,Jawa Tengah,Kab. Brebes,Fisika,SMA,SMA,11.0,Partisipan,2021,1
P,Bangka Belitung,Kab. Bangka Tengah,Kebumian,SMA,SMA,11.0,Partisipan,2024,1
L,Bangka Belitung,Kab. Bangka Tengah,Kimia,SMA,SMA,11.0,Partisipan,2017,1
P,Bangka Belitung,Kab. Bangka Tengah,Astronomi,SMA,SMA,11.0,Partisipan,2023,1
P,Bangka Belitung,Kab. Bangka Tengah,Kimia,SMA,SMA,11.0,Partisipan,2020,1
P,Bangka Belitung,Kab. Bangka Tengah,Ekonomi,SMA,SMA,11.0,Partisipan,2024,1
P,Bangka Belitung,Kab. Bangka Tengah,IPA,SMP,SMP,11.0,Partisipan,2017,1
L,Banten,Kota Serang,Geografi,SMA,SMA,11.0,Partisipan,2024,2
P,Banten,Kota Serang,Geografi,SMA,SMA,11.0,Partisipan,2021,2
L,Banten,Kota Serang,Kebumian,SMA,SMA,11.0,Partisipan,2021,2
L,Banten,Kota Serang,Fisika,SMA,SMA,11.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Jawa Timur,Kab. Jember,Geografi,SMA,SMA,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2021,0
L,Banten,Kota Tangerang Selatan,Geografi,SMA,SMA,11.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2021,0
L,Banten,Kota Tangerang Selatan,Matematika,SMA,SMA,11.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Banten,Kota Tangerang Selatan,Matematika,SMA,SMA,11.0,Partisipan,2012,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2010,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2009,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2009,0
L,Jawa Timur,Kab. Jember,Geografi,SMA,SMA,10.0,Partisipan,2019,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2020,0
P,Banten,Kota Tangerang Selatan,Fisika,SMA,SMA,11.0,Partisipan,2020,2
L,Banten,Kota Tangerang Selatan,Kimia,SMA,SMA,11.0,Partisipan,2020,2
L,Banten,Kota Tangerang Selatan,Informatika,SMA,SMA,11.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,Banten,Kota Tangerang Selatan,Astronomi,SMA,SMA,10.0,Partisipan,2020,2
L,Banten,Kota Tangerang Selatan,Kebumian,SMA,SMA,11.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2015,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
P,Banten,Kota Tangerang Selatan,Matematika,SMA,SMA,11.0,Partisipan,2019,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
P,DKI Jakarta,Kota Jakarta Selatan,Biologi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2019,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
P,Banten,Kota Tangerang Selatan,Astronomi,SMA,SMA,11.0,Partisipan,2019,2
L,Banten,Kota Tangerang Selatan,Kebumian,SMA,SMA,11.0,Partisipan,2019,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
P,Banten,Kota Tangerang Selatan,Matematika,SMA,SMA,10.0,Partisipan,2018,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2016,0
L,Luar Negeri,Belanda,Matematika,SMA,SMA,11.0,Partisipan,2023,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
P,Bangka Belitung,Kab. Bangka Tengah,Matematika,SMP,SMP,11.0,Partisipan,2022,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2016,0
L,Banten,Kota Tangerang Selatan,Biologi,SMA,SMA,11.0,Partisipan,2018,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Banten,Kota Tangerang Selatan,Geografi,SMA,SMA,11.0,Partisipan,2018,2
L,Banten,Kota Tangerang Selatan,Geografi,SMA,SMA,11.0,Partisipan,2018,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Bengkulu,Kota Bengkulu,Biologi,SMA,SMA,11.0,Partisipan,2011,2
P,Bengkulu,Kota Bengkulu,Biologi,SMA,SMA,10.0,Partisipan,2022,2
P,Bengkulu,Kota Bengkulu,Informatika,SMA,SMA,10.0,Partisipan,2024,2
P,Bengkulu,Kab. Bengkulu Tengah,Fisika,SMA,SMA,11.0,Partisipan,2021,1
P,Bengkulu,Kab. Bengkulu Tengah,Fisika,SMA,SMA,10.0,Partisipan,2020,1
L,Bengkulu,Kab. Bengkulu Tengah,Kimia,SMA,SMA,11.0,Partisipan,2019,1
P,Bengkulu,Kab. Bengkulu Tengah,Ekonomi,SMA,SMA,11.0,Partisipan,2019,1
P,Bengkulu,Kab. Bengkulu Tengah,Geografi,SMA,SMA,11.0,Partisipan,2019,1
P,Bengkulu,Kab. Bengkulu Tengah,Ekonomi,SMA,SMA,10.0,Partisipan,2018,1
P,Papua Tengah,Kab. Mimika,Ekonomi,SMA,SMA,11.0,Partisipan,2024,0
P,Bengkulu,Kab. Bengkulu Tengah,Astronomi,SMA,SMA,11.0,Partisipan,2022,1
L,DI Yogyakarta,Kab. Bantul,Ekonomi,SMA,SMA,10.0,Partisipan,2022,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2023,0
L,Sumatera Barat,Kota Padang,Kimia,SMA,SMA,11.0,Partisipan,2021,2
P,DI Yogyakarta,Kota Yogyakarta,Biologi,SMA,SMA,10.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,DI Yogyakarta,Kota Yogyakarta,Informatika,SMA,SMA,11.0,Partisipan,2016,2
L,Sumatera Barat,Kota Padang,Geografi,SMA,SMA,11.0,Partisipan,2020,2
L,DI Yogyakarta,Kota Yogyakarta,Geografi,SMA,SMA,10.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2016,0
L,Sumatera Barat,Kota Padang,Kimia,SMA,SMA,11.0,Partisipan,2019,2
P,DI Yogyakarta,Kota Yogyakarta,Geografi,SMA,SMA,10.0,Partisipan,2013,2
L,DI Yogyakarta,Kota Yogyakarta,Kimia,SMA,SMA,11.0,Partisipan,2012,2
L,Jawa Timur,Kota Kediri,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
L,DI Yogyakarta,Kota Yogyakarta,Biologi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Jawa Timur,Kab. Malang,Geografi,SMA,SMA,11.0,Partisipan,2021,0
L,DI Yogyakarta,Kota Yogyakarta,Ekonomi,SMA,SMA,11.0,Partisipan,2023,2
L,DI Yogyakarta,Kota Yogyakarta,Geografi,SMA,SMA,11.0,Partisipan,2023,2
L,DI Yogyakarta,Kota Yogyakarta,Kimia,SMA,SMA,10.0,Partisipan,2023,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
P,Lampung,Kota Bandar Lampung,Kimia,SMA,SMA,11.0,Partisipan,2023,2
L,DI Yogyakarta,Kab. Sleman,Matematika,SMA,SMA,10.0,Partisipan,2019,0
P,DI Yogyakarta,Kab. Bantul,Geografi,SMA,SMA,11.0,Partisipan,2019,1
L,DI Yogyakarta,Kab. Sleman,Fisika,SMA,SMA,11.0,Partisipan,2014,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,Jawa Timur,Kab. Malang,Fisika,SMA,SMA,11.0,Partisipan,2020,0
P,DI Yogyakarta,Kab. Bantul,IPS,SMP,SMP,11.0,Partisipan,2020,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2024,0
P,DI Yogyakarta,Kab. Bantul,IPS,SMP,SMP,11.0,Partisipan,2018,1
L,DI Yogyakarta,Kota Yogyakarta,IPA,SMP,SMP,11.0,Partisipan,2018,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2024,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2021,0
P,DI Yogyakarta,Kab. Sleman,Matematika,SMP,SMP,11.0,Partisipan,2021,0
L,DI Yogyakarta,Kab. Sleman,Informatika,SMA,SMA,11.0,Partisipan,2021,0
L,DI Yogyakarta,Kota Yogyakarta,Fisika,SMA,SMA,11.0,Partisipan,2009,2
L,DI Yogyakarta,Kota Yogyakarta,Fisika,SMA,SMA,11.0,Partisipan,2009,2
L,DI Yogyakarta,Kab. Bantul,Biologi,SMA,SMA,10.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
P,DI Yogyakarta,Kab. Bantul,Kebumian,SMA,SMA,11.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Sumatera Barat,Kota Padang,Fisika,SMA,SMA,11.0,Partisipan,2010,2
L,DKI Jakarta,Kota Jakarta Selatan,Matematika,SMA,SMA,10.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2010,0
P,DKI Jakarta,Kota Jakarta Selatan,Ekonomi,SMA,SMA,11.0,Partisipan,2009,2
L,DKI Jakarta,Kota Jakarta Selatan,Kebumian,SMA,SMA,11.0,Partisipan,2020,2
L,DKI Jakarta,Kota Jakarta Selatan,Geografi,SMA,SMA,11.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2016,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2022,0
P,DKI Jakarta,Kota Jakarta Selatan,Geografi,SMA,SMA,11.0,Partisipan,2023,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2023,0
L,DKI Jakarta,Kota Jakarta Selatan,Fisika,SMA,SMA,11.0,Partisipan,2024,2
L,DKI Jakarta,Kota Jakarta Selatan,Biologi,SMA,SMA,11.0,Partisipan,2024,2
P,Jawa Tengah,Kab. Pati,Kimia,SMA,SMA,10.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
P,DKI Jakarta,Kota Jakarta Timur,Kebumian,SMA,SMA,11.0,Partisipan,2011,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2010,0
L,DKI Jakarta,Kota Jakarta Timur,Ekonomi,SMA,SMA,11.0,Partisipan,2012,2
P,DKI Jakarta,Kota Jakarta Selatan,Matematika,SMA,SMP,9.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2018,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2019,0
P,DKI Jakarta,Kota Jakarta Selatan,Matematika,SMP,SMP,11.0,Partisipan,2018,2
L,DKI Jakarta,Kota Jakarta Selatan,IPA,SMP,SMP,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,7.0,Partisipan,2020,0
P,Kalimantan Barat,Kota Pontianak,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2024,0
P,DKI Jakarta,Kota Jakarta Timur,Matematika,SMA,SMA,10.0,Partisipan,2021,2
L,DKI Jakarta,Kota Jakarta Timur,Kimia,SMA,SMA,11.0,Partisipan,2022,2
P,DKI Jakarta,Kota Jakarta Timur,Matematika,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2023,0
L,DKI Jakarta,Kota Jakarta Utara,Informatika,SMA,SMA,11.0,Partisipan,2024,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,DKI Jakarta,Kota Jakarta Barat,Informatika,SMA,SMA,10.0,Partisipan,2015,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2013,0
L,DKI Jakarta,Kota Jakarta Utara,Kimia,SMA,SMA,11.0,Partisipan,2023,2
L,DKI Jakarta,Kota Jakarta Utara,Biologi,SMA,SMA,11.0,Partisipan,2024,2
L,DKI Jakarta,Kota Jakarta Utara,Matematika,SMA,SMA,11.0,Partisipan,2024,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2020,0
L,DKI Jakarta,Kota Jakarta Barat,Fisika,SMA,SMA,11.0,Partisipan,2021,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2020,0
P,DKI Jakarta,Kota Jakarta Barat,Kimia,SMA,SMA,11.0,Partisipan,2023,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2024,0
L,DKI Jakarta,Kota Jakarta Utara,Informatika,SMA,SMA,11.0,Partisipan,2016,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2012,0
L,DKI Jakarta,Kota Jakarta Barat,Informatika,SMA,SMA,11.0,Partisipan,2009,2
P,DKI Jakarta,Kota Jakarta Timur,Kebumian,SMA,SMA,11.0,Partisipan,2024,2
L,DKI Jakarta,Kota Jakarta Utara,Kebumian,SMA,SMA,11.0,Partisipan,2013,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2012,0
L,DKI Jakarta,Kota Jakarta Timur,Kebumian,SMA,SMA,11.0,Partisipan,2013,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2015,0
L,DKI Jakarta,Kota Jakarta Timur,Fisika,SMA,SMA,11.0,Partisipan,2013,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2013,0
L,DKI Jakarta,Kota Jakarta Utara,Matematika,SMA,SMA,10.0,Partisipan,2010,2
P,DKI Jakarta,Kota Jakarta Pusat,Kebumian,SMA,SMA,10.0,Partisipan,2010,2
P,DKI Jakarta,Kota Jakarta Selatan,Biologi,SMA,SMA,11.0,Partisipan,2021,2
L,DKI Jakarta,Kota Jakarta Selatan,Astronomi,SMA,SMA,11.0,Partisipan,2020,2
P,DKI Jakarta,Kota Jakarta Selatan,Ekonomi,SMA,SMA,11.0,Partisipan,2020,2
P,DKI Jakarta,Kota Jakarta Selatan,Ekonomi,SMA,SMA,10.0,Partisipan,2019,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,DKI Jakarta,Kota Jakarta Selatan,Ekonomi,SMA,SMA,11.0,Partisipan,2013,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Bali,Kab. Badung,Fisika,SMA,SMA,11.0,Partisipan,2022,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2017,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2016,0
L,DKI Jakarta,Kota Jakarta Selatan,Ekonomi,SMA,SMA,11.0,Partisipan,2016,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2015,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2014,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2014,0
L,Sumatera Barat,Kota Padang,Fisika,SMA,SMA,11.0,Partisipan,2023,2
L,DKI Jakarta,Kota Jakarta Selatan,Informatika,SMA,SMA,11.0,Partisipan,2012,2
L,Gorontalo,Kota Gorontalo,Geografi,SMA,SMA,11.0,Partisipan,2022,2
L,Gorontalo,Kab. Bone Bolango,Astronomi,SMA,SMA,11.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
P,Gorontalo,Kab. Bone Bolango,Biologi,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Fisika,SMA,SMA,11.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
P,Gorontalo,Kab. Bone Bolango,Geografi,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Informatika,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Kebumian,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Kebumian,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Kimia,SMA,SMA,11.0,Partisipan,2021,1
L,Gorontalo,Kab. Bone Bolango,Matematika,SMA,SMA,11.0,Partisipan,2021,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2019,0
L,Jambi,Kab. Muaro Jambi,Biologi,SMA,SMA,11.0,Partisipan,2021,0
P,Jambi,Kab. Muaro Jambi,Biologi,SMA,SMA,11.0,Partisipan,2021,0
L,Jambi,Kab. Muaro Jambi,Fisika,SMA,SMA,10.0,Partisipan,2021,0
L,Jambi,Kab. Muaro Jambi,Fisika,SMA,SMA,11.0,Partisipan,2021,0
L,Jambi,Kab. Muaro Jambi,Geografi,SMA,SMA,11.0,Partisipan,2021,0
L,Jambi,Kab. Muaro Jambi,Informatika,SMA,SMA,11.0,Partisipan,2021,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2021,0
L,Jawa Tengah,Kab. Cilacap,Geografi,SMA,SMA,11.0,Partisipan,2023,1
L,Jambi,Kab. Muaro Jambi,Matematika,SMA,SMA,11.0,Partisipan,2021,0
L,Jambi,Kab. Muaro Jambi,Kebumian,SMA,SMA,11.0,Partisipan,2024,0
L,Jambi,Kab. Muaro Jambi,Astronomi,SMA,SMA,11.0,Partisipan,2018,0
L,Jambi,Kab. Muaro Jambi,Ekonomi,SMA,SMA,11.0,Partisipan,2020,0
L,Jambi,Kab. Muaro Jambi,Kebumian,SMA,SMA,10.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2020,0
L,Jambi,Kab. Muaro Jambi,Fisika,SMA,SMA,11.0,Partisipan,2019,0
L,Sumatera Barat,Kota Padang,Kimia,SMA,SMA,11.0,Partisipan,2023,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Jawa Barat,Kab. Kuningan,Fisika,SMA,SMA,10.0,Partisipan,2020,1
L,Jawa Barat,Kab. Kuningan,Geografi,SMA,SMA,11.0,Partisipan,2019,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2009,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2021,0
L,Jawa Barat,Kab. Kuningan,Geografi,SMA,SMA,10.0,Partisipan,2018,1
L,Jawa Barat,Kab. Kuningan,Astronomi,SMA,SMA,11.0,Partisipan,2017,1
L,Jawa Barat,Kab. Kuningan,Geografi,SMA,SMA,11.0,Partisipan,2016,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2015,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Jawa Barat,Kab. Kuningan,Biologi,SMA,SMA,10.0,Partisipan,2022,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2014,0
